,date,price
829,02-Jul-97,4.63
830,01-Jul-97,4.67
831,30-Jun-97,4.63
832,27-Jun-97,4.69
833,26-Jun-97,4.76
834,25-Jun-97,4.78
835,24-Jun-97,4.77
836,23-Jun-97,4.84
837,20-Jun-97,4.73
838,19-Jun-97,4.77
839,18-Jun-97,4.72
840,17-Jun-97,4.79
841,16-Jun-97,4.71
842,13-Jun-97,4.7
843,12-Jun-97,4.73
844,11-Jun-97,4.77
845,10-Jun-97,4.77
846,09-Jun-97,4.76
847,06-Jun-97,4.8
848,05-Jun-97,4.8
849,04-Jun-97,4.72
850,03-Jun-97,4.75
851,02-Jun-97,4.75
852,30-May-97,4.74
853,29-May-97,4.78
854,28-May-97,4.73
855,27-May-97,4.75
856,26-May-97,4.73
857,23-May-97,4.73
858,22-May-97,4.68
859,21-May-97,4.69
860,20-May-97,4.69
861,19-May-97,4.67
862,16-May-97,4.68
863,15-May-97,4.83
864,14-May-97,4.85
865,13-May-97,4.86
866,12-May-97,4.83
867,09-May-97,4.87
868,08-May-97,4.84
869,07-May-97,4.73
870,06-May-97,4.71
871,05-May-97,4.75
872,02-May-97,4.7
873,01-May-97,4.75
874,30-Apr-97,4.71
875,29-Apr-97,4.65
876,28-Apr-97,4.63
877,25-Apr-97,4.73
878,24-Apr-97,4.71
879,23-Apr-97,4.72
880,22-Apr-97,4.74
881,21-Apr-97,4.75
882,18-Apr-97,4.73
883,17-Apr-97,4.72
884,16-Apr-97,4.79
885,15-Apr-97,4.71
886,14-Apr-97,4.73
887,11-Apr-97,4.73
888,10-Apr-97,4.79
889,09-Apr-97,4.78
890,08-Apr-97,4.78
891,07-Apr-97,4.78
892,04-Apr-97,4.73
893,03-Apr-97,4.73
894,02-Apr-97,4.87
895,01-Apr-97,4.98
896,31-Mar-97,5.07
897,27-Mar-97,5.11
898,26-Mar-97,5.14
899,25-Mar-97,5.12
900,24-Mar-97,5.16
901,21-Mar-97,5.14
902,20-Mar-97,5.2
903,19-Mar-97,5.23
904,18-Mar-97,5.17
905,17-Mar-97,5.22
906,14-Mar-97,5.28
907,13-Mar-97,5.27
908,12-Mar-97,5.2
909,11-Mar-97,5.25
910,10-Mar-97,5.24
911,07-Mar-97,5.16
912,06-Mar-97,5.2
